Product Name,Category,Price,Stock,Description,Last Updated
Laptop Pro 15,Electronics,1299.99,25,"High-performance laptop with 16GB RAM and 512GB SSD",2024-01-15
Wireless Mouse,Electronics,29.99,150,"Ergonomic wireless mouse with precision tracking",2024-01-10
Office Chair,Furniture,249.99,40,"Adjustable office chair with lumbar support",2024-01-12
Programming Book,Books,49.99,30,"Complete guide to Python programming and data science",2023-12-20
Standing Desk,Furniture,399.99,15,"Height-adjustable standing desk for productivity",2024-01-08
USB-C Hub,Electronics,79.99,80,"Multi-port USB-C hub with HDMI and Ethernet",2024-01-05
Coffee Mug,Kitchen,14.99,200,"Insulated coffee mug with smart temperature control",2023-12-25
Mechanical Keyboard,Electronics,129.99,60,"RGB mechanical keyboard for gaming and typing",2024-01-02
Notebook Set,Stationery,19.99,100,"Premium notebook set for note-taking and planning",2023-12-30
Monitor 27inch,Electronics,329.99,20,"4K monitor with USB-C connectivity and color accuracy",2024-01-18
Desk Lamp,Furniture,89.99,35,"LED desk lamp with adjustable brightness and color",2024-01-03
Wireless Headphones,Electronics,199.99,45,"Noise-cancelling wireless headphones with 30hr battery",2024-01-14
Tablet 10inch,Electronics,599.99,18,"Lightweight tablet with stylus support for creativity",2024-01-20
External SSD,Electronics,149.99,70,"1TB external SSD with high-speed data transfer",2024-01-16
Plant Pot,Home & Garden,24.99,120,"Self-watering plant pot for office and home use",2023-12-28
